TYPE	ARG1 NORMALIZATION	ARG2 NORMALIZATION
Binds_To	AT5G13790	AT5G13790
Conditional_Binds_To	AT5G13790	AT5G13790
Regulates_Expression_Of	AT3G54320	AT5G15530
Regulates_Accumulation_Of	AT1G28300	AT3G54320
Conditional_Regulates_Expression_Of	AT3G54320	AT5G15530
Regulates_Expression_Of	AT4G18960	AT2G17950
Regulates_Expression_Of	AT4G36920	AT4G18960
Regulates_Expression_Of	AT4G36920	AT2G27250
Regulates_Expression_Of	AT4G18960	AT2G17950
Regulates_Expression_Of	AT4G36920	AT2G17950
Conditional_Regulates_Expression_Of	AT4G18960	AT2G17950
Binds_To	AT3G54620	AT3G62420
Binds_To	AT3G24650	AT3G62420
Conditional_Binds_To	AT3G24650	AT3G62420
Regulates_Expression_Of	AT2G25170	AT1G21970
Conditional_Regulates_Expression_Of	AT2G25170	AT1G21970
Regulates_Expression_Of	AT4G36920	AT4G36920
Regulates_Expression_Of	AT4G36920	AT4G17500
Regulates_Expression_Of	AT5G03280	AT4G36920
Regulates_Expression_Of	AT4G36920	AT3G16770
Regulates_Expression_Of	AT5G03280	AT4G36920
Regulates_Expression_Of	AT4G36920	AT3G16770
Regulates_Expression_Of	AT4G36920	AT4G36920
Regulates_Expression_Of	AT3G20770	AT3G16770
Regulates_Expression_Of	AT4G36920	AT3G16770
Regulates_Expression_Of	AT4G36920	AT4G18960
Regulates_Expression_Of	AT4G36920	AT4G17500
Regulates_Expression_Of	AT4G36920	AT3G16770
Regulates_Expression_Of	AT4G36920	AT4G36920
Regulates_Expression_Of	AT5G03280	AT3G16770
Regulates_Expression_Of	AT5G03280	AT4G36920
Regulates_Expression_Of	AT3G16770	AT4G36920
Regulates_Expression_Of	AT4G36920	AT4G17500
Regulates_Expression_Of	AT4G36920	AT3G16770
Regulates_Expression_Of	AT4G36920	AT4G36920
Regulates_Expression_Of	AT3G20770	AT3G16770
Regulates_Expression_Of	AT5G03280	AT4G36920
Regulates_Expression_Of	AT3G16770	AT4G36920
Regulates_Expression_Of	AT3G20770	AT3G16770
Regulates_Expression_Of	AT4G36920	AT4G18960
Conditional_Regulates_Expression_Of	AT3G20770	AT3G16770
Conditional_Regulates_Expression_Of	AT5G03280	AT4G36920
Interacts_With	AT1G21970	AT1G28300
Interacts_With	AT1G21970	AT3G26790
Interacts_With	AT3G24650	AT1G28300
Interacts_With	AT3G26790	AT3G24650
Interacts_With	AT3G24650	AT1G21970
Interacts_With	AT1G28300	AT3G26790
Binds_To	AT5G13790	AT1G24260
Binds_To	AT4G38130	AT5G13790
Binds_To	AT5G13790	AT3G57390
Binds_To	AT2G45640	AT5G13790
Binds_To	AT5G13790	AT1G24260
Binds_To	AT5G13790	AT1G69120
Binds_To	AT2G45640	AT3G57390
Binds_To	AT4G38130	AT5G13790
Binds_To	AT1G43850	AT1G24260
Binds_To	AT5G13790	AT4G25470
Regulates_Activity_Of	AT5G13790	AT3G57390
Regulates_Activity_Of	AT5G13790	AT4G25470
Interacts_With	AT1G69120	AT4G32551
Interacts_With	AT1G24260	AT4G32551
Interacts_With	AT2G45640	AT1G50640
